idx,hpwl_normalized,hpwl_rescaled,macro_hpwl_normalized,macro_hpwl_rescaled,legality_2,macro_legality,original_hpwl_normalized,hpwl_ratio,model_time,generation_time,eval_time,model_vertices,model_edges,num_vertices,num_edges,lambda_2
0,170.93679809570312,913.3388061523438,170.93679809570312,913.3387451171875,0.980592020431515,0.980592020431515,266.4090576171875,0.6416328319487102,47.12639665603638,90.91297149658203,0.052034854888916016,543,14584,211447,1445822,0.0012382233
1,493.44952392578125,3465.84423828125,493.44952392578125,3465.84423828125,0.9587480537812801,0.9587480537812801,526.4466552734375,0.9373210352518672,51.89980340003967,95.33100080490112,0.04845118522644043,566,18938,255023,1606946,0.001266162
2,466.1974182128906,5421.4453125,466.19744873046875,5421.4453125,0.9928347738436121,0.9928347738436121,669.450927734375,0.6963877394130203,51.4219708442688,96.64105105400085,0.06185340881347656,723,23402,451650,2816562,0.0011346363
3,471.5394287109375,5481.822265625,471.5394287109375,5481.822265625,0.9988276562070976,0.9988276562070976,766.599853515625,0.615105033673642,69.39485478401184,135.12255883216858,0.11533069610595703,1329,28864,496045,2792938,0.00092492887
4,48.694366455078125,260.23150634765625,48.694366455078125,260.23150634765625,0.9963736336807975,0.9963736336807975,61.26948547363281,0.7947572283112062,46.003180503845215,88.57971787452698,0.04634451866149902,560,5952,278164,1720424,0.004095335
