idx,hpwl_normalized,hpwl_rescaled,macro_hpwl_normalized,macro_hpwl_rescaled,legality_2,macro_legality,original_hpwl_normalized,hpwl_ratio,model_time,generation_time,eval_time,model_vertices,model_edges,num_vertices,num_edges,lambda_2
0,206.8080596923828,1104.91796875,206.80807495117188,1104.91796875,0.9890707072416697,0.9890707072416697,266.4090576171875,0.7762801368020773,9.831905126571655,89.44567632675171,0.1422562599182129,543,14584,211447,1445822,0.0012382233
1,571.1688232421875,4011.8798828125,571.1688232421875,4011.8798828125,0.9689525020221872,0.9689525020221872,526.4466552734375,1.0849509964984414,10.50462031364441,90.6854784488678,0.058223724365234375,566,18938,255023,1606946,0.001266162
2,572.6782836914062,6662.0625,572.6783447265625,6662.0625,0.9967301466658268,0.9967301466658268,669.450927734375,0.8554447532540186,9.761215686798096,91.08963060379028,0.07381033897399902,723,23402,451650,2816562,0.0011346363
3,527.1119384765625,6130.6396484375,527.1119384765625,6130.63916015625,0.9945707113555894,0.9945707113555894,766.599853515625,0.6875972334970174,10.489266633987427,111.07521605491638,0.14462900161743164,1329,28864,496045,2792938,0.00092503335
4,165.84461975097656,886.14306640625,165.84461975097656,886.1430053710938,0.9967084847947514,0.9967084847947514,64.31137084960938,2.578776001195812,9.87294888496399,91.4855625629425,0.05845308303833008,560,5952,278164,1720424,0.004095335
