chosen_candidate_idx,num_candidates,hpwl_pre_legalization,macro_legality_pre_legalization,candidates_hpwl_pre,candidates_macro_legality_pre,candidates_hpwl_post,candidates_macro_legality_post,idx,hpwl_normalized,hpwl_rescaled,macro_hpwl_normalized,macro_hpwl_rescaled,legality_2,macro_legality,original_hpwl_normalized,hpwl_ratio,model_time,generation_time,eval_time,model_vertices,model_edges,num_vertices,num_edges,lambda_2
2,4,716.18017578125,0.8182730042727486,"[761.0114, 788.1189, 716.1802, 723.3659]","[0.813707, 0.831371, 0.818273, 0.811754]","[934.0511, 957.4403, 895.6517, 906.0173]","[0.994083, 0.994114, 0.994342, 0.994621]",0,167.62619018554688,895.6517333984375,167.62619018554688,895.6517944335938,0.9943420488259406,0.9943420488259406,266.4090576171875,0.6292060475902242,289.8147540092468,294.16255140304565,0.06010007858276367,543,14584,211447,1445822,0.0012382995
3,4,1755.109619140625,0.8565014366006974,"[1714.0942, 2282.0715, 2074.4319, 1755.1096]","[0.789535, 0.835558, 0.825502, 0.856501]","[3063.5918, 3572.1177, 3570.2605, 2835.6274]","[0.977406, 0.947185, 0.977978, 0.985866]",1,403.7127685546875,2835.62744140625,403.7127685546875,2835.627197265625,0.9858663472802968,0.9858663472802968,526.4466552734375,0.7668635834432233,290.07758474349976,294.3189444541931,0.043195247650146484,566,18938,255023,1606946,0.0012663717
3,4,3568.6064453125,0.8514490795027546,"[3627.7263, 3708.9578, 3852.3923, 3568.6064]","[0.856581, 0.847849, 0.856771, 0.851449]","[5331.3589, 5531.3535, 5551.4272, 5219.791]","[0.997043, 0.997178, 0.994045, 0.996974]",2,448.79327392578125,5219.791015625,448.79327392578125,5219.791015625,0.9969744203580377,0.9969744203580377,669.450927734375,0.6703900993081506,356.53732085227966,364.04043102264404,0.07810306549072266,723,23402,451650,2816562,0.0011345723
3,4,3983.679931640625,0.9216663530132835,"[3736.8989, 3942.2224, 3986.2744, 3983.6799]","[0.91743, 0.921931, 0.91579, 0.921666]","[5617.0532, 5704.127, 5692.3062, 5577.5581]","[0.998634, 0.998736, 0.996858, 0.998893]",3,479.69232177734375,5577.55810546875,479.69232177734375,5577.55810546875,0.9988929578131057,0.9988929578131057,766.599853515625,0.6257401688475102,376.972163438797,392.6724503040314,0.10427141189575195,1329,28864,496045,2792938,0.0009249664
0,4,140.6563720703125,0.8773455410180742,"[140.6564, 150.5732, 144.7602, 153.2028]","[0.877346, 0.879004, 0.880588, 0.886105]","[257.0668, 266.3467, 261.0295, 272.6576]","[0.996163, 0.996366, 0.996002, 0.996306]",4,48.10124206542969,257.0667724609375,48.10124206542969,257.0667724609375,0.9961630653680039,0.9961630653680039,61.26948547363281,0.7850766444926317,284.7502009868622,288.99530720710754,0.041005849838256836,560,5952,278164,1720424,0.0040953886
