idx,hpwl_normalized,hpwl_rescaled,macro_hpwl_normalized,macro_hpwl_rescaled,legality_2,macro_legality,original_hpwl_normalized,hpwl_ratio,model_time,generation_time,eval_time,model_vertices,model_edges,num_vertices,num_edges,lambda_2
0,212.57952880859375,1135.906982421875,212.57952880859375,1135.906982421875,0.9932459126502845,0.9932459126502845,266.4090576171875,0.7979440740864626,14.705027341842651,80.73372030258179,0.06744098663330078,543,14584,211447,1445822,0.0012382233
1,532.2413330078125,3738.3544921875,532.2413330078125,3738.3544921875,0.9735999229067384,0.9735999229067384,526.4466552734375,1.0110071508220813,18.73893904685974,83.7110002040863,0.07333636283874512,566,18938,255023,1606946,0.001266162
2,510.6102294921875,5936.60888671875,510.61029052734375,5936.6083984375,0.9960152091872921,0.9960152091872921,669.450927734375,0.7627298855500094,18.478188037872314,86.16375541687012,0.07816386222839355,723,23402,451650,2816562,0.0011346363
3,519.3666381835938,6040.630859375,519.3666381835938,6040.630859375,0.9970017821682395,0.9970017821682395,766.599853515625,0.6774937874065324,24.349353313446045,117.62588953971863,0.1408405303955078,1329,28864,496045,2792938,0.00092492887
4,122.11714935302734,652.4976196289062,122.11714935302734,652.49755859375,0.9964694185148126,0.9964694185148126,61.26948547363281,1.99311530705738,14.309222936630249,78.57669830322266,0.05065345764160156,560,5952,278164,1720424,0.004095335
