idx,hpwl_normalized,hpwl_rescaled,macro_hpwl_normalized,macro_hpwl_rescaled,legality_2,macro_legality,original_hpwl_normalized,hpwl_ratio,model_time,generation_time,eval_time,model_vertices,model_edges,num_vertices,num_edges,lambda_2
0,170.63339233398438,911.6895751953125,170.63340759277344,911.689697265625,0.9938311718680057,0.9938311718680057,266.4090576171875,0.6404939601534625,41.59818506240845,85.33898258209229,0.055056095123291016,543,14584,211447,1445822,0.0012382233
1,544.03369140625,3820.995361328125,544.03369140625,3820.99560546875,0.9811947508084552,0.9811947508084552,526.4466552734375,1.0334070621527223,42.15779948234558,85.62750315666199,0.04885601997375488,566,18938,255023,1606946,0.001266162
2,454.3363037109375,5285.7109375,454.3363037109375,5285.7119140625,0.9969862072749665,0.9969862072749665,669.450927734375,0.6786700636125031,42.532227754592896,89.30735921859741,0.06590509414672852,723,23402,451650,2816562,0.0011346363
3,450.93988037109375,5243.7421875,450.93988037109375,5243.7431640625,0.9989186671068098,0.9989186671068098,766.599853515625,0.5882337158076467,56.594839572906494,122.2337417602539,0.11438846588134766,1329,28864,496045,2792938,0.00092492887
4,49.48527145385742,264.4689636230469,49.48527145385742,264.468994140625,0.9965422466530721,0.9965422466530721,61.26948547363281,0.8076658563609661,40.88844919204712,83.92279744148254,0.04663872718811035,560,5952,278164,1720424,0.004095335
