idx,hpwl_normalized,hpwl_rescaled,macro_hpwl_normalized,macro_hpwl_rescaled,legality_2,macro_legality,original_hpwl_normalized,hpwl_ratio,model_time,generation_time,eval_time,model_vertices,model_edges,num_vertices,num_edges,lambda_2
0,176.05734252929688,940.6689453125,176.05734252929688,940.6689453125,0.9940209134408743,0.9940209134408743,266.4090576171875,0.6608534413356164,59.329880475997925,103.12162280082703,0.05543375015258789,543,14584,211447,1445822,0.0012382233
1,435.563232421875,3059.223388671875,435.5632629394531,3059.22314453125,0.9704957103442301,0.9704957103442301,526.4466552734375,0.8273644215588045,74.30608487129211,118.18292665481567,0.047931671142578125,566,18938,255023,1606946,0.001266162
2,464.06353759765625,5397.375,464.06353759765625,5397.375,0.9956038864310233,0.9956038864310233,669.450927734375,0.6932002307744767,82.85208129882812,128.36784172058105,0.06840133666992188,723,23402,451650,2816562,0.0011346363
3,448.67144775390625,5218.33935546875,448.67144775390625,5218.33935546875,0.9966074016028201,0.9966074016028201,766.599853515625,0.5852746327778438,153.5922610759735,219.75458478927612,0.117034912109375,1329,28864,496045,2792938,0.00092492887
4,50.223907470703125,268.41131591796875,50.223907470703125,268.41131591796875,0.9960466986688283,0.9960466986688283,61.26948547363281,0.8197213846738908,57.891416788101196,100.73548889160156,0.04623770713806152,560,5952,278164,1720424,0.004095335
