idx,hpwl_normalized,hpwl_rescaled,macro_hpwl_normalized,macro_hpwl_rescaled,legality_2,macro_legality,original_hpwl_normalized,hpwl_ratio,model_time,generation_time,eval_time,model_vertices,model_edges,num_vertices,num_edges,lambda_2
0,180.95199584960938,966.888671875,180.95199584960938,966.888671875,0.9574243962231629,0.9574243962231629,266.4090576171875,0.6792261399371249,59.125983238220215,115.99657440185547,0.058947086334228516,543,14584,211447,1445822,0.0012382233
1,461.7276611328125,3243.24169921875,461.7276916503906,3243.24169921875,0.9832543765367866,0.9832543765367866,526.4466552734375,0.8770644784379724,92.0061457157135,185.73709893226624,0.050786733627319336,566,18938,255023,1606946,0.001266162
2,460.22222900390625,5352.91064453125,460.22222900390625,5352.91015625,0.9965326141959189,0.9965326141959189,669.450927734375,0.6874622320136861,60.0855348110199,118.76737761497498,0.06747555732727051,723,23402,451650,2816562,0.0011346363
3,455.3590087890625,5296.9091796875,455.3590087890625,5296.9091796875,0.9986790564894885,0.9986790564894885,766.599853515625,0.593998298722322,87.77299785614014,170.64877653121948,0.1222679615020752,1329,28864,496045,2792938,0.00092492887
4,49.057861328125,262.1810607910156,49.057861328125,262.1810607910156,0.9963760085113929,0.9963760085113929,61.26948547363281,0.8006899511052192,55.53034853935242,110.8644003868103,0.0505523681640625,560,5952,278164,1720424,0.004095335
