idx,hpwl_normalized,hpwl_rescaled,macro_hpwl_normalized,macro_hpwl_rescaled,legality_2,macro_legality,original_hpwl_normalized,hpwl_ratio,model_time,generation_time,eval_time,model_vertices,model_edges,num_vertices,num_edges,lambda_2
0,165.511474609375,884.3170166015625,165.511474609375,884.3170166015625,0.9858442096973977,0.9858442096973977,266.4090576171875,0.6212681959455156,66.21876096725464,132.54025793075562,0.05512285232543945,543,14584,211447,1445822,0.0012382233
1,433.05096435546875,3041.69287109375,433.05096435546875,3041.69287109375,0.9718116009913335,0.9718116009913335,526.4466552734375,0.82259229879719,71.4510726928711,135.87750601768494,0.05245637893676758,566,18938,255023,1606946,0.001266162
2,476.0293884277344,5536.07568359375,476.0293884277344,5536.076171875,0.9961464910551527,0.9961464910551527,669.450927734375,0.7110743576661581,70.35713863372803,138.55218696594238,0.06401705741882324,723,23402,451650,2816562,0.0011346363
3,456.942138671875,5312.78955078125,456.942138671875,5312.7890625,0.9980558632101035,0.9980558632101035,766.599853515625,0.5960634307146545,88.82309055328369,183.96888947486877,0.12291979789733887,1329,28864,496045,2792938,0.00092492887
4,49.3740234375,263.86627197265625,49.3740234375,263.86627197265625,0.9965485795346599,0.9965485795346599,61.26948547363281,0.8058501398505786,64.69932842254639,129.3369846343994,0.04816317558288574,560,5952,278164,1720424,0.004095335
