idx,hpwl_normalized,hpwl_rescaled,macro_hpwl_normalized,macro_hpwl_rescaled,legality_2,macro_legality,original_hpwl_normalized,hpwl_ratio,model_time,generation_time,eval_time,model_vertices,model_edges,num_vertices,num_edges,lambda_2
0,176.41920471191406,942.6394653320312,176.419189453125,942.6394653320312,0.9948190751746312,0.9948190751746312,266.4090576171875,0.6622117366798279,84.45638656616211,155.95377802848816,0.07689142227172852,543,14584,211447,1445822,0.0012382233
1,446.3039245605469,3134.33447265625,446.3039245605469,3134.33447265625,0.9087855091529781,0.9087855091529781,526.4466552734375,0.8477666637063839,72.48378205299377,133.03715920448303,0.08781290054321289,566,18938,255023,1606946,0.001266162
2,460.6302490234375,5358.6064453125,460.6302490234375,5358.6064453125,0.9968224097741993,0.9968224097741993,669.450927734375,0.6880717165966892,81.94436049461365,135.1743392944336,0.06356191635131836,723,23402,451650,2816562,0.0011346363
3,457.4939880371094,5320.220703125,457.4939880371094,5320.220703125,0.9990292170697369,0.9990292170697369,766.599853515625,0.5967832969691333,79.12377715110779,175.86197519302368,0.131256103515625,1329,28864,496045,2792938,0.00092492887
4,50.350799560546875,269.0944519042969,50.350799560546875,269.0944519042969,0.9964670436842172,0.9964670436842172,61.26948547363281,0.8217924334000688,70.62844944000244,144.76568937301636,0.08746767044067383,560,5952,278164,1720424,0.004095335
