idx,hpwl_normalized,hpwl_rescaled,macro_hpwl_normalized,macro_hpwl_rescaled,legality_2,macro_legality,original_hpwl_normalized,hpwl_ratio,model_time,generation_time,eval_time,model_vertices,model_edges,num_vertices,num_edges,lambda_2
0,174.22418212890625,930.9227294921875,174.22418212890625,930.9227294921875,0.9913917009886605,0.9913917009886605,266.4090576171875,0.6539724425558199,41.90527653694153,85.15626811981201,0.08144330978393555,543,14584,211447,1445822,0.0012382233
1,379.39349365234375,2664.62744140625,379.39349365234375,2664.62744140625,0.962296492760251,0.962296492760251,526.4466552734375,0.7206684473192939,41.78041481971741,85.4784607887268,0.04825878143310547,566,18938,255023,1606946,0.001266162
2,475.25262451171875,5528.32080078125,475.25262451171875,5528.3203125,0.9966813732164668,0.9966813732164668,669.450927734375,0.7099140576593385,46.01106142997742,99.52564764022827,0.13866686820983887,723,23402,451650,2816562,0.0011346363
3,457.60736083984375,5321.51123046875,457.60736083984375,5321.51123046875,0.9976979898417438,0.9976979898417438,766.599853515625,0.596931187426214,67.45338249206543,154.91284322738647,0.13698697090148926,1329,28864,496045,2792938,0.00092492887
4,50.16474151611328,268.0986022949219,50.16474151611328,268.0986022949219,0.9956318949248287,0.9956318949248287,61.26948547363281,0.8187557171130736,53.94078350067139,117.24429941177368,0.04833364486694336,560,5952,278164,1720424,0.004095335
