idx,hpwl_normalized,hpwl_rescaled,macro_hpwl_normalized,macro_hpwl_rescaled,legality_2,macro_legality,original_hpwl_normalized,hpwl_ratio,model_time,generation_time,eval_time,model_vertices,model_edges,num_vertices,num_edges,lambda_2
0,176.01864624023438,940.505126953125,176.01864624023438,940.5051879882812,0.9929786709983568,0.9929786709983568,266.4090576171875,0.6607081899338487,49.51208567619324,108.00228667259216,0.09235763549804688,543,14584,211447,1445822,0.0012382233
1,500.2137756347656,3513.37744140625,500.21380615234375,3513.376953125,0.9606726991472397,0.9606726991472397,526.4466552734375,0.9501699186880644,62.45048809051514,136.8148319721222,0.04837775230407715,566,18938,255023,1606946,0.001266162
2,476.6986083984375,5543.1318359375,476.6986083984375,5543.1318359375,0.9948694395727445,0.9948694395727445,669.450927734375,0.7120740126714443,52.60374569892883,160.93723678588867,0.12711834907531738,723,23402,451650,2816562,0.0011346363
3,450.6936340332031,5239.80078125,450.6936340332031,5239.80078125,0.9984924070171973,0.9984924070171973,766.599853515625,0.5879124969386874,134.12836456298828,278.12578868865967,0.19719958305358887,1329,28864,496045,2792938,0.00092492887
4,49.46934127807617,264.37664794921875,49.46934127807617,264.37664794921875,0.9966752371664155,0.9966752371664155,61.26948547363281,0.8074058545728312,128.46865010261536,239.97634077072144,0.0909428596496582,560,5952,278164,1720424,0.004095335
